Customer Reference,Club Name,Date Created,Order Quantity,Shipped Quantity,Unshipped Quantity,Shipping Date,Sales Order Header Status
1409500,Rush Northern Colorado,2025-06-13,8.0,8.0,0.0,2025-07-21,SHIPPED
1409501,Rush Southern Maryland,2025-06-14,10.0,10.0,0.0,2025-06-29,SHIPPED
1409502,Rush Virginia,2025-06-14,13.0,13.0,0.0,2025-07-03,SHIPPED
1409504,Rush Kansas,2025-06-14,12.0,12.0,0.0,2025-06-28,SHIPPED
1409505,Rush Coastal Perdido,2025-06-14,10.0,10.0,0.0,2025-06-30,SHIPPED
1409511,Rush Kansas,2025-06-14,15.0,15.0,0.0,2025-06-29,SHIPPED
1409513,Rush Mountain,2025-06-14,8.0,8.0,0.0,2025-07-08,SHIPPED
1409515,Rush Colorado Springs,2025-06-14,12.0,12.0,0.0,2025-06-30,SHIPPED
1409517,Rush Colorado Springs,2025-06-14,12.0,12.0,0.0,2025-06-30,SHIPPED
1409518,Rush Colorado Springs,2025-06-14,13.0,13.0,0.0,2025-06-30,SHIPPED
1409523,Rush Mobile,2025-06-14,9.0,9.0,0.0,2025-06-30,SHIPPED
1409527,Rush Washington,2025-06-14,10.0,10.0,0.0,2025-06-29,SHIPPED
1409531,Rush Mobile,2025-06-13,14.0,14.0,0.0,2025-07-14,SHIPPED
1409534,Rush Mobile,2025-06-14,11.0,11.0,0.0,2025-07-12,SHIPPED
1409535,Rush Tennessee Lobos,2025-06-14,6.0,6.0,0.0,2025-06-28,SHIPPED
1409538,Rush Mobile,2025-06-14,10.0,10.0,0.0,2025-07-12,SHIPPED
1409539,Rush Emerald Coast United,2025-06-14,9.0,9.0,0.0,2025-07-05,SHIPPED
1409540,Rush Kansas,2025-06-14,16.0,16.0,0.0,2025-06-28,SHIPPED
1409541,Rush Mobile,2025-06-13,10.0,10.0,0.0,2025-07-14,SHIPPED
1409543,Rush Colorado,2025-06-14,9.0,9.0,0.0,2025-06-30,SHIPPED
1409546,Rush Bulls,2025-06-14,19.0,19.0,0.0,2025-06-28,SHIPPED
1409550,Rush Mobile,2025-06-14,10.0,10.0,0.0,2025-06-30,SHIPPED
1409552,Rush Virginia,2025-06-14,9.0,9.0,0.0,2025-06-29,SHIPPED
1409553,Rush Bluffton,2025-06-14,10.0,10.0,0.0,2025-06-30,SHIPPED
1409555,Rush Chicago North Shore,2025-06-14,20.0,20.0,0.0,2025-06-29,SHIPPED
1409556,Rush Pennsylvania,2025-06-14,17.0,17.0,0.0,2025-06-30,SHIPPED
1409557,Rush Kansas,2025-06-14,14.0,14.0,0.0,2025-06-30,SHIPPED
1409559,Rush Tennessee Lobos,2025-06-14,10.0,10.0,0.0,2025-06-30,SHIPPED
1409561,Rush Kansas,2025-06-14,14.0,14.0,0.0,2025-06-30,SHIPPED
1409562,Rush Mobile,2025-06-14,14.0,14.0,0.0,2025-07-08,SHIPPED
1409563,Rush Calico Hawks,2025-06-14,11.0,11.0,0.0,2025-08-08,SHIPPED
1409564,Rush Colorado,2025-06-14,11.0,11.0,0.0,2025-06-30,SHIPPED
1409565,Rush Gateway,2025-06-14,11.0,11.0,0.0,2025-07-08,SHIPPED
1409567,Rush La Krewe Lafayette,2025-06-14,10.0,10.0,0.0,2025-08-08,SHIPPED
1409568,Rush Gateway,2025-06-14,22.0,22.0,0.0,2025-07-08,SHIPPED
1409569,Rush Tennessee Lobos,2025-06-14,7.0,7.0,0.0,2025-06-28,SHIPPED
1409573,Rush Kansas,2025-06-14,23.0,23.0,0.0,2025-06-28,SHIPPED
1409574,Rush Flatirons,2025-06-14,10.0,10.0,0.0,2025-07-29,SHIPPED
1409578,Rush Colorado Springs,2025-06-14,12.0,12.0,0.0,2025-06-30,SHIPPED
1409580,Rush Blount United,2025-06-14,11.0,11.0,0.0,2025-06-30,SHIPPED
1409587,Rush Northern Colorado,2025-06-13,10.0,10.0,0.0,2025-07-09,SHIPPED
1409588,Rush Northern Colorado,2025-06-13,12.0,12.0,0.0,2025-07-09,SHIPPED
1409589,Rush Kansas,2025-06-14,12.0,12.0,0.0,2025-06-28,SHIPPED
1409590,Rush Mobile,2025-06-14,14.0,14.0,0.0,2025-06-30,SHIPPED
1409592,Rush Flatirons,2025-06-14,9.0,9.0,0.0,2025-07-29,SHIPPED
1409593,Rush Bulls,2025-06-14,7.0,7.0,0.0,2025-06-28,SHIPPED
1409596,Rush Bluffton,2025-06-14,10.0,10.0,0.0,2025-06-30,SHIPPED
1409597,Rush North Carolina,2025-06-14,10.0,10.0,0.0,2025-06-30,SHIPPED
1409598,Rush Northern Colorado,2025-06-13,11.0,11.0,0.0,2025-07-09,SHIPPED
1409600,Rush Flatirons,2025-06-14,9.0,9.0,0.0,2025-07-29,SHIPPED
1409601,Rush Coastal Perdido,2025-06-14,17.0,17.0,0.0,2025-07-03,SHIPPED
1409604,Rush Colorado Springs,2025-06-14,14.0,14.0,0.0,2025-07-03,SHIPPED
1409606,Rush Chicago North Shore,2025-06-14,11.0,11.0,0.0,2025-06-29,SHIPPED
1409607,Rush Mobile,2025-06-14,12.0,12.0,0.0,2025-06-30,SHIPPED
1409608,Rush Mountain,2025-06-14,8.0,8.0,0.0,2025-07-10,SHIPPED
1409614,Rush Coastal Perdido,2025-06-14,12.0,12.0,0.0,2025-06-30,SHIPPED
1409619,Rush Mississippi,2025-06-13,11.0,11.0,0.0,2025-07-05,SHIPPED
